Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Grenada,GRD,..,..,..,..,13.96384,12.54639,11.87372,11.88228,11.79439,12.81206,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Guatemala,GTM,..,14.03186,13.54263,13.66083,12.32395,12.66446,..,12.39713,10.51281,10.49312,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Guinea,GIN,..,..,33.13554,..,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Guinea-Bissau,GNB,..,15.01456,..,..,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Guyana,GUY,..,..,20.86307,20.29138,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Honduras,HND,..,..,..,..,..,..,16.09893,14.49878,16.65963,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,"Hong Kong SAR, China",HKG,..,..,15.79139,14.98744,14.19818,13.60538,12.95682,12.37069,11.51862,11.22247,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Hungary,HUN,..,9.84324,10.02931,10.03962,10.48026,10.90331,10.2914,10.01652,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Iceland,ISL,..,..,..,..,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,India,IND,..,33.62315,25.92121,..,30.78327,31.77246,31.65018,28.49097,27.44103,28.52287,..,..
